timestamp,event_type,details
2025-02-10 18:24:43,App Switch,"{'previous_window': 'Side-projects/Forge/VlogForge/tests at main · Dadudekc/Side-projects - Opera', 'new_window': 'ChatGPT', 'duration_in_previous_window': 10.02}"
2025-02-10 18:24:43,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:24:46,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:24:48,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:24:51,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:24:53,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:24:57,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:24:58,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:25:02,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:25:03,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:25:07,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:25:08,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:25:12,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:25:13,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:25:17,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:25:18,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:25:22,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:25:23,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:25:27,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:25:28,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:25:32,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:25:33,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:25:37,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:25:38,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:25:42,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:25:43,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:25:47,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:25:48,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:25:52,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:25:53,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:25:57,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:25:58,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:26:02,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:26:03,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:26:07,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:26:08,Work App Usage,{'window': 'ChatGPT'}
